"","id_spotify","score","title_rs","title_sp","artist_rs","artist_sp"
"1",245,0.359375,"Try a Little Tenderness","Try A Little Tenderness","Otis Redding","['Eddie Heywood']"
"2",528,0.378787878787879,"I Only Have Eyes for You","I Only Have Eyes For You","The Flamingos","['Oscar Peterson']"
"3",635,0.315789473684211,"Georgia on My Mind","Georgia On My Mind","Ray Charles","['Dave Brubeck']"
"4",781,0.352941176470588,"Summertime Blues","Cradle Baby","Eddie Cochran","['Eddie Cochran']"
"5",781,0.395833333333333,"Cmon Everybody","Cradle Baby","Eddie Cochran","['Eddie Cochran']"
"6",781,0.352941176470588,"Summertime Blues","Cradle Baby","Eddie Cochran","['Eddie Cochran']"
"7",816,0.392405063291139,"Folsom Prison Blues","Folsom Prison Blues (Alternate Version, Take 2) (2017 Remaster)","Johnny Cash","['Johnny Cash']"
"8",825,0.36,"I Walk the Line","I Walk the Line (Alternate Version, Take 1) (2017 Remaster)","Johnny Cash","['Johnny Cash']"
"9",835,0.346153846153846,"Summertime Blues","Proud Of You","Eddie Cochran","['Eddie Cochran']"
"10",835,0.346153846153846,"Summertime Blues","Proud Of You","Eddie Cochran","['Eddie Cochran']"
"11",835,0.36,"Cmon Everybody","Proud Of You","Eddie Cochran","['Eddie Cochran']"
"12",846,0.403225806451613,"Wake Up Little Susie","Rocking Alone","The Everly Brothers","['The Everly Brothers']"
"13",846,0.462962962962963,"Bye Bye Love","Rocking Alone","The Everly Brothers","['The Everly Brothers']"
"14",862,0.4,"Wake Up Little Susie","Put My Little Shoes Away","The Everly Brothers","['The Everly Brothers']"
"15",862,0.363636363636364,"Bye Bye Love","Put My Little Shoes Away","The Everly Brothers","['The Everly Brothers']"
"16",876,0.326530612244898,"I Walk the Line","There You Go","Johnny Cash","['Johnny Cash']"
"17",891,0.307692307692308,"Under the Boardwalk","Drip Drop","The Drifters","['The Drifters']"
"18",891,0.34,"There Goes My Baby","Drip Drop","The Drifters","['The Drifters']"
"19",891,0.395348837209302,"Money Honey","Drip Drop","The Drifters","['The Drifters']"
"20",900,0.372093023255814,"Mack the Knife","So Mean","Bobby Darin","['Bobby Darin']"
"21",925,0.355932203389831,"Great Balls of Fire","Goodnight Irene","Jerry Lee Lewis","['Jerry Lee Lewis']"
"22",925,0.355932203389831,"Great Balls of Fire","Goodnight Irene","Jerry Lee Lewis","['Jerry Lee Lewis']"
"23",930,0.396825396825397,"I Put a Spell on You","I Love Paris","Screamin' Jay Hawkins","[""Screamin' Jay Hawkins""]"
"24",1001,0.333333333333333,"I Cant Stop Loving You","It Had to Be You","Ray Charles","['Ray Charles']"
"25",1001,0.354166666666667,"What'd I Say","It Had to Be You","Ray Charles","['Ray Charles']"
"26",1001,0.313725490196078,"I Got a Woman","It Had to Be You","Ray Charles","['Ray Charles']"
"27",1034,0.333333333333333,"Im a Man","Willie And Lillie","Bo Diddley","['Bo Diddley']"
"28",1034,0.394736842105263,"Bo Diddley","Willie And Lillie","Bo Diddley","['Bo Diddley']"
"29",1034,0.394736842105263,"Bo Diddley","Willie And Lillie","Bo Diddley","['Bo Diddley']"
"30",1035,0.368421052631579,"Cupid","Sweet Leilani","Sam Cooke","['Sam Cooke']"
"31",1035,0.319148936170213,"Wonderful World","Sweet Leilani","Sam Cooke","['Sam Cooke']"
"32",1040,0.328571428571429,"Wake Up Little Susie","That's Just Too Much","The Everly Brothers","['The Everly Brothers']"
"33",1040,0.370967741935484,"Bye Bye Love","That's Just Too Much","The Everly Brothers","['The Everly Brothers']"
"34",1044,0.789473684210526,"I Walk the Line","I Walk the Line","Johnny Cash","['Johnny Cash']"
"35",1049,0.318181818181818,"Cupid","(Ain't That) Good News","Sam Cooke","['Sam Cooke']"
"36",1055,0.333333333333333,"Mannish Boy","Meanest Woman","Muddy Waters","['Muddy Waters']"
"37",1055,0.326530612244898,"Rollin Stone","Meanest Woman","Muddy Waters","['Muddy Waters']"
"38",1055,0.372549019607843,"Hoochie Coochie Man","Meanest Woman","Muddy Waters","['Muddy Waters']"
"39",1068,0.32,"Rollin Stone","Soon Forgotten","Muddy Waters","['Muddy Waters']"
"40",1068,0.314814814814815,"Hoochie Coochie Man","Soon Forgotten","Muddy Waters","['Muddy Waters']"
"41",1068,0.326530612244898,"Mannish Boy","Soon Forgotten","Muddy Waters","['Muddy Waters']"
"42",1072,0.304347826086957,"Cupid","I'm Walking Behind You","Sam Cooke","['Sam Cooke']"
"43",1114,0.316666666666667,"Great Balls of Fire","Lovesick Blues","Jerry Lee Lewis","['Jerry Lee Lewis']"
"44",1114,0.316666666666667,"Great Balls of Fire","Lovesick Blues","Jerry Lee Lewis","['Jerry Lee Lewis']"
"45",1123,0.375,"Maybellene","Mad Lad","Chuck Berry","['Chuck Berry']"
"46",1123,0.306122448979592,"Roll Over Beethoven","Mad Lad","Chuck Berry","['Chuck Berry']"
"47",1123,0.340909090909091,"Johnny B. Goode","Mad Lad","Chuck Berry","['Chuck Berry']"
"48",1123,0.306122448979592,"Roll Over Beethoven","Mad Lad","Chuck Berry","['Chuck Berry']"
"49",1125,0.338983050847458,"Boom Boom","Come On And See About Me","John Lee Hooker","['John Lee Hooker']"
"50",1146,0.405405405405405,"Cupid","Long, Long Ago","Sam Cooke","['Sam Cooke']"
"51",1151,0.32,"Maybellene","Don't You Lie To Me","Chuck Berry","['Chuck Berry']"
"52",1160,0.425,"What'd I Say","Dawn Ray","Ray Charles","['Ray Charles']"
"53",1160,0.369565217391304,"Hit the Road Jack","Dawn Ray","Ray Charles","['Ray Charles']"
"54",1160,0.333333333333333,"Georgia on My Mind","Dawn Ray","Ray Charles","['Ray Charles']"
"55",1160,0.307692307692308,"I Cant Stop Loving You","Dawn Ray","Ray Charles","['Ray Charles']"
"56",1160,0.340909090909091,"I Got a Woman","Dawn Ray","Ray Charles","['Ray Charles']"
"57",1177,0.447368421052632,"Runaway","Day Dreams","Del Shannon","['Del Shannon']"
"58",1178,0.444444444444444,"Respect","Are You Sure","Aretha Franklin","['Aretha Franklin']"
"59",1178,0.384615384615385,"Chain of Fools","Are You Sure","Aretha Franklin","['Aretha Franklin']"
"60",1178,0.32258064516129,"Do Right Woman — Do Right Man","Are You Sure","Aretha Franklin","['Aretha Franklin']"
"61",1181,0.34,"Hit the Road Jack","Hornful Soul","Ray Charles","['Ray Charles']"
"62",1181,0.307692307692308,"Georgia on My Mind","Hornful Soul","Ray Charles","['Ray Charles']"
"63",1181,0.3125,"I Got a Woman","Hornful Soul","Ray Charles","['Ray Charles']"
"64",1181,0.326086956521739,"What'd I Say","Hornful Soul","Ray Charles","['Ray Charles']"
"65",1182,0.434782608695652,"Boom Boom","The Journey","John Lee Hooker","['John Lee Hooker']"
"66",1184,0.36,"Long Tall Sally","My Desire","Little Richard","['Little Richard']"
"67",1184,0.4,"Good Golly","My Desire","Little Richard","['Little Richard']"
"68",1184,0.36,"Long Tall Sally","My Desire","Little Richard","['Little Richard']"
"69",1184,0.321428571428571,"The Girl Cant Help It","My Desire","Little Richard","['Little Richard']"
"70",1184,0.4,"Good Golly","My Desire","Little Richard","['Little Richard']"
"71",1184,0.382978723404255,"Tutti-Frutti","My Desire","Little Richard","['Little Richard']"
"72",1206,0.380952380952381,"Ring of Fire","Cry, Cry, Cry","Johnny Cash","['Johnny Cash']"
"73",1206,0.380952380952381,"Ring of Fire","Cry, Cry, Cry","Johnny Cash","['Johnny Cash']"
"74",1218,0.358490566037736,"The Twist","The Mashed Potatoes","Chubby Checker","['Chubby Checker']"
"75",1221,0.454545454545455,"The Twist","Twist It Up","Chubby Checker","['Chubby Checker']"
"76",1230,0.477272727272727,"Boom Boom","A New Leaf","John Lee Hooker","['John Lee Hooker']"
"77",1240,0.344262295081967,"Boom Boom","I Got A Letter (This Morning)","John Lee Hooker","['John Lee Hooker']"
"78",1261,0.354166666666667,"Higher Ground","Soul Bongo","Stevie Wonder","['Stevie Wonder']"
"79",1261,0.361702127659574,"Superstition","Soul Bongo","Stevie Wonder","['Stevie Wonder']"
"80",1261,0.361702127659574,"Superstition","Soul Bongo","Stevie Wonder","['Stevie Wonder']"
"81",1263,0.333333333333333,"Ring of Fire","Sing It Pretty, Sue","Johnny Cash","['Johnny Cash']"
"82",1263,0.333333333333333,"Ring of Fire","Sing It Pretty, Sue","Johnny Cash","['Johnny Cash']"
"83",1267,0.361702127659574,"Superstition","The Square","Stevie Wonder","['Stevie Wonder']"
"84",1267,0.354166666666667,"Higher Ground","The Square","Stevie Wonder","['Stevie Wonder']"
"85",1267,0.361702127659574,"Superstition","The Square","Stevie Wonder","['Stevie Wonder']"
"86",1272,0.303571428571429,"Ring of Fire","Accidentally on Purpose","Johnny Cash","['Johnny Cash']"
"87",1272,0.303571428571429,"Ring of Fire","Accidentally on Purpose","Johnny Cash","['Johnny Cash']"
"88",1276,0.425,"Runaway","So Long Baby","Del Shannon","['Del Shannon']"
"89",1285,0.355555555555556,"Ring of Fire","I Got Shoes","Johnny Cash","['Johnny Cash']"
"90",1285,0.333333333333333,"Folsom Prison Blues","I Got Shoes","Johnny Cash","['Johnny Cash']"
"91",1285,0.355555555555556,"Ring of Fire","I Got Shoes","Johnny Cash","['Johnny Cash']"
"92",1286,0.386363636363636,"Ring of Fire","Mr. Lonesome","Johnny Cash","['Johnny Cash']"
"93",1286,0.386363636363636,"Ring of Fire","Mr. Lonesome","Johnny Cash","['Johnny Cash']"
"94",1289,0.42,"Boom Boom","Drug Store Woman","John Lee Hooker","['John Lee Hooker']"
"95",1290,0.30188679245283,"I Got You (I Feel Good)","It Was You","James Brown","['James Brown']"
"96",1290,0.30188679245283,"I Got You (I Feel Good)","It Was You","James Brown","['James Brown']"
"97",1293,0.337837837837838,"I Never Loved a Man (the Way I Love You)","Nobody Like You","Aretha Franklin","['Aretha Franklin']"
"98",1293,0.416666666666667,"Respect","Nobody Like You","Aretha Franklin","['Aretha Franklin']"
"99",1293,0.363636363636364,"Chain of Fools","Nobody Like You","Aretha Franklin","['Aretha Franklin']"
"100",1293,0.307692307692308,"Do Right Woman — Do Right Man","Nobody Like You","Aretha Franklin","['Aretha Franklin']"
"101",1312,0.392156862745098,"Chain of Fools","Rough Lover","Aretha Franklin","['Aretha Franklin']"
"102",1312,0.454545454545455,"Respect","Rough Lover","Aretha Franklin","['Aretha Franklin']"
"103",1312,0.327868852459016,"Do Right Woman — Do Right Man","Rough Lover","Aretha Franklin","['Aretha Franklin']"
"104",1315,0.525,"Boom Boom","Thelma","John Lee Hooker","['John Lee Hooker']"
"105",1325,0.301587301587302,"Sloop John B","Our Car Club - Remastered 2001","The Beach Boys","['The Beach Boys']"
"106",1325,0.333333333333333,"In My Room","Our Car Club - Remastered 2001","The Beach Boys","['The Beach Boys']"
"107",1325,0.322033898305085,"Caroline","Our Car Club - Remastered 2001","The Beach Boys","['The Beach Boys']"
"108",1326,0.333333333333333,"California Girls","Shut Down (Stereo)","The Beach Boys","['The Beach Boys']"
"109",1326,0.339285714285714,"Dont Worry Baby","Shut Down (Stereo)","The Beach Boys","['The Beach Boys']"
"110",1326,0.358490566037736,"Sloop John B","Shut Down (Stereo)","The Beach Boys","['The Beach Boys']"
"111",1326,0.4,"In My Room","Shut Down (Stereo)","The Beach Boys","['The Beach Boys']"
"112",1326,0.333333333333333,"California Girls","Shut Down (Stereo)","The Beach Boys","['The Beach Boys']"
"113",1326,0.345454545454545,"God Only Knows","Shut Down (Stereo)","The Beach Boys","['The Beach Boys']"
"114",1326,0.339285714285714,"Good Vibrations","Shut Down (Stereo)","The Beach Boys","['The Beach Boys']"
"115",1326,0.387755102040816,"Caroline","Shut Down (Stereo)","The Beach Boys","['The Beach Boys']"
"116",1337,0.344262295081967,"People Get Ready","Sad Sad Girl And Boy","The Impressions","['The Impressions']"
"117",1344,0.395348837209302,"Ring of Fire","Chain Gang","Johnny Cash","['Johnny Cash']"
"118",1344,0.395348837209302,"Ring of Fire","Chain Gang","Johnny Cash","['Johnny Cash']"
"119",1359,0.3125,"In My Room","South Bay Surfer - Remastered 2001","The Beach Boys","['The Beach Boys']"
"120",1359,0.301587301587302,"Caroline","South Bay Surfer - Remastered 2001","The Beach Boys","['The Beach Boys']"
"121",1368,0.309090909090909,"All Shook Up","Vino, Dinero Y Amor","Elvis Presley","['Elvis Presley']"
"122",1368,0.321428571428571,"Love Me Tender","Vino, Dinero Y Amor","Elvis Presley","['Elvis Presley']"
