"","id_spotify","artists","name","release_date","year","acousticness","danceability","speechiness","tempo","valence","energy","instrumentalness","liveness","loudness","duration_ms","popularity","key","mode","explicit","top_500"
"1",58808,"['Otis Redding']","Try a Little Tenderness","1966-10-15",1966,0.186,0.587,0.0565,102.938,0.068,0.133,2.26e-05,0.258,-15.151,201733,64,9,0,0,TRUE
"2",58126,"['The Flamingos']","I Only Have Eyes for You","1959-08-11",1959,0.916,0.552,0.0296,88.554,0.303,0.313,0.0017,0.12,-12.41,202773,60,5,1,0,TRUE
"3",52556,"['Brenda Lee']","Georgia On My Mind","1961-04-03",1961,0.776,0.41,0.0288,94.841,0.273,0.191,0.00334,0.0978,-9.031,219147,9,7,0,0,TRUE
"4",85517,"['Eddie Cochran']","Summertime Blues","1996-01-01",1996,0.489,0.756,0.0433,156.484,0.966,0.756,0.000175,0.167,-10.821,121067,48,4,1,0,TRUE
"5",58232,"['Eddie Cochran']","C’Mon Everybody","1960-05-01",1960,0.121,0.627,0.0522,175.33,0.856,0.7,0.0111,0.188,-9.657,118227,55,3,1,0,TRUE
"6",105118,"['Johnny Cash']","Folsom Prison Blues","1958-01-01",1958,0.691,0.754,0.0266,101.738,0.79,0.54,7.51e-05,0.0868,-8.326,168554,14,5,1,0,TRUE
"7",93316,"['Johnny Cash']","I Walk the Line","1956-01-01",1956,0.798,0.862,0.0421,105.834,0.787,0.484,0.000996,0.105,-11.183,163046,15,10,1,0,TRUE
"8",58630,"['The Everly Brothers']","Wake up Little Susie","1964-08-01",1964,0.318,0.709,0.034,93.723,0.936,0.62,0,0.0426,-9.382,123520,61,2,1,0,TRUE
"9",58629,"['The Everly Brothers']","Bye Bye Love","1964-08-01",1964,0.724,0.547,0.0572,169.598,0.89,0.523,0,0.103,-9.176,142907,61,9,1,0,TRUE
"10",58604,"['The Drifters']","Under the Boardwalk","1964-06-01",1964,0.908,0.747,0.0415,123.789,0.778,0.226,0.000168,0.107,-13.635,161960,69,7,1,0,TRUE
"11",67026,"['The Drifters']","There Goes My Baby","1988-11-15",1988,0.596,0.239,0.035,77.58,0.642,0.564,0,0.704,-6.544,129613,49,6,0,0,TRUE
"12",99266,"['The Drifters']","Ruby Baby","1958",1958,0.54,0.724,0.0323,131.121,0.841,0.436,0,0.206,-8.937,145933,19,7,1,0,TRUE
"13",58127,"['Bobby Darin']","Mack the Knife","1959",1959,0.76,0.549,0.108,82.755,0.464,0.529,0,0.206,-12.291,184333,62,3,0,0,TRUE
"14",12330,"['Jerry Lee Lewis']","Great Balls of Fire","1957-01-01",1957,0.563,0.526,0.0737,78.709,0.88,0.728,0,0.159,-7.227,111536,11,0,1,0,TRUE
"15",58069,"[""Screamin' Jay Hawkins""]","I Put a Spell On You","1958",1958,0.59,0.733,0.094,173.781,0.9,0.399,0.0254,0.0766,-12.086,144867,48,10,0,0,TRUE
"16",64330,"['Roy Orbison']","I Can't Stop Loving You","1961",1961,0.771,0.372,0.0322,116.304,0.59,0.534,9.3e-06,0.413,-7.863,162893,41,2,1,0,TRUE
"17",58131,"['Ray Charles']","What'd I Say, Pt. 1 & 2","1959",1959,0.808,0.54,0.0508,88.385,0.794,0.681,0,0.162,-5.44,307053,62,4,1,0,TRUE
"18",57922,"['Ray Charles']","I've Got a Woman","1957-01-01",1957,0.833,0.556,0.213,199.373,0.665,0.61,2.22e-06,0.258,-4.729,171467,67,9,1,0,TRUE
"19",58044,"['Bo Diddley']","I'm A Man","1958-01-01",1958,0.333,0.513,0.0391,85.527,0.834,0.546,0,0.17,-15.672,164547,57,0,1,0,TRUE
"20",58048,"['Bo Diddley']","Bo Diddley","1958-01-01",1958,0.176,0.809,0.0574,105.696,0.563,0.701,0,0.184,-12.484,149013,52,0,1,0,TRUE
"21",58223,"['Sam Cooke']","Cupid","1960-01-01",1960,0.484,0.474,0.0343,120.326,0.831,0.478,0,0.0833,-8.951,158613,57,7,1,0,TRUE
"22",62189,"['Sam Cooke']","(What A) Wonderful World","2000-09-26",2000,0.627,0.691,0.0343,128.518,0.885,0.507,0,0.457,-10.23,125440,71,11,1,0,TRUE
"23",70811,"['Muddy Waters']","Mannish Boy","1966-01-01",1966,0.716,0.603,0.0717,108.018,0.673,0.389,0,0.08,-12.949,177893,42,9,1,0,TRUE
"24",73043,"['Muddy Waters']","Rollin' Stone","1989-11-07",1989,0.989,0.629,0.0833,169.254,0.335,0.0192,4.3e-05,0.106,-19.952,188160,52,4,1,0,TRUE
"25",69978,"['Muddy Waters']","(I'm Your) Hoochie Coochie Man","1957-04-02",1957,0.897,0.488,0.191,73.618,0.797,0.434,0,0.0914,-8.261,166960,29,2,1,0,TRUE
"26",58144,"['Chuck Berry']","Maybellene","1959-07-01",1959,0.735,0.756,0.112,118.208,0.783,0.768,0,0.182,-10.701,143240,56,0,1,0,TRUE
"27",58137,"['Chuck Berry']","Roll Over Beethoven","1959-07-01",1959,0.837,0.715,0.193,92.739,0.841,0.797,0,0.209,-10.154,144600,60,3,1,0,TRUE
"28",58117,"['Chuck Berry']","Johnny B. Goode","1959-07-01",1959,0.741,0.534,0.0743,167.983,0.969,0.803,6.07e-05,0.307,-9.129,161560,74,10,1,0,TRUE
"29",58421,"['John Lee Hooker']","Boom Boom","1962-01-01",1962,0.62,0.441,0.0485,160.9,0.918,0.455,0.00187,0.135,-14.207,152351,57,10,1,0,TRUE
"30",93462,"['Ray Charles']","Blackjack","1958",1958,0.828,0.673,0.0542,115.757,0.464,0.224,0,0.0792,-12.043,139627,27,2,1,0,TRUE
"31",58324,"['Del Shannon']","Runaway","1961-01-01",1961,0.153,0.594,0.0438,78.552,0.729,0.533,1.49e-05,0.172,-7.993,137307,61,10,0,0,TRUE
